Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/06/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260206 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000027955122 EED:260206   IND ID:W0550                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0377955122TC",-1023.91,ACH_DEBIT,9687.73,,
DEBIT,02/04/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260204 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000025576689 EED:260204   IND ID:W4046                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0355576689TC",-515.02,ACH_DEBIT,10711.64,,
DEBIT,02/04/2026,"Online Transfer to CHK ...1268 transaction#: 27948797565 02/04",-1800.00,ACCT_XFER,11226.66,,
DEBIT,02/04/2026,"Payment to Chase card ending in 0922 02/04",-687.00,LOAN_PMT,13026.66,,
CREDIT,02/04/2026,"Online Transfer from CHK ...9873 transaction#: 27948409802",10000.00,ACCT_XFER,13713.66,,
DEBIT,02/03/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260203 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000029247505 EED:260203   IND ID:W1512                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0349247505TC",-501.49,ACH_DEBIT,3713.66,,
DEBIT,02/03/2026,"Payment to Chase card ending in 0922 02/03",-219.36,LOAN_PMT,4215.15,,
CREDIT,02/03/2026,"ORIG CO NAME:INTUIT 64503856        ORIG ID:4462800242 DESC DATE:260203 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000029360984 EED:260203   IND ID:                             IND NAME:TARGON LLC TRN: 0349360984TC",124.00,ACH_CREDIT,4434.51,,
DEBIT,02/02/2026,"STANDARD ACH PMNTS INITIAL FEE QTY = 9",-22.50,FEE_TRANSACTION,4310.51,,
DEBIT,02/02/2026,"Online ACH Payment 11205647964 To WiseUSD (_###########1248)",-220.00,ACH_PAYMENT,4333.01,,
DEBIT,02/02/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260202 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000020137890 EED:260202   IND ID:W5646                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0330137890TC",-2997.44,ACH_DEBIT,4553.01,,
DEBIT,02/02/2026,"Payment to Chase card ending in 0922 02/02",-114.61,LOAN_PMT,7550.45,,
DEBIT,01/30/2026,"Online ACH Payment 11205414140 To WiseUSD (_###########1248)",-1515.00,ACH_PAYMENT,7665.06,,
DEBIT,01/29/2026,"Online ACH Payment 11205162570 To TacticalLogistic (_########9958)",-386.40,ACH_PAYMENT,9180.06,,
DEBIT,01/29/2026,"Online ACH Payment 11205147492 To TacticalLogistic (_########9958)",-384.00,ACH_PAYMENT,9566.46,,
DEBIT,01/27/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260127 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000023173606 EED:260127   IND ID:W5758                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0273173606TC",-1717.44,ACH_DEBIT,9950.46,,
DEBIT,01/26/2026,"Online ACH Payment 11204666172 To TacticalLogistic (_########9958)",-331.20,ACH_PAYMENT,11667.90,,
DEBIT,01/20/2026,"Online ACH Payment 11203974484 To WiseUSD (_###########1248)",-100.00,ACH_PAYMENT,11999.10,,
DEBIT,01/20/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260120 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000024374266 EED:260120   IND ID:W7900                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0204374266TC",-2937.59,ACH_DEBIT,12099.10,,
